,dataset_name,relation_P_ID,relation_label,tail_entity_Q_ID,tail_entity_label,count
207,HumanWikidata5M,P1050,medical condition,Q81867,NA,33
208,HumanWikidata5M,P1050,medical condition,Q15326,NA,15
209,HumanWikidata5M,P1050,medical condition,Q10658304,NA,15
210,HumanWikidata5M,P1050,medical condition,Q244438,NA,14
211,HumanWikidata5M,P1050,medical condition,Q12202,NA,11
212,HumanWikidata5M,P1050,medical condition,Q844717,NA,11
213,HumanWikidata5M,P1050,medical condition,Q12206,NA,9
214,HumanWikidata5M,P1050,medical condition,Q194101,NA,9
215,HumanWikidata5M,P1050,medical condition,Q134003,NA,8
216,HumanWikidata5M,P1050,medical condition,Q15787,NA,8
217,HumanWikidata5M,P1050,medical condition,Q128581,NA,8
218,HumanWikidata5M,P1050,medical condition,Q477415,NA,7
219,HumanWikidata5M,P1050,medical condition,Q41112,NA,7
220,HumanWikidata5M,P1050,medical condition,Q2289761,NA,7
221,HumanWikidata5M,P1050,medical condition,Q47715,NA,6
222,HumanWikidata5M,P1050,medical condition,Q12078,NA,6
223,HumanWikidata5M,P1050,medical condition,Q12199,NA,6
224,HumanWikidata5M,P1050,medical condition,Q41083,NA,5
225,HumanWikidata5M,P1050,medical condition,Q29496,NA,5
226,HumanWikidata5M,P1050,medical condition,Q595010,NA,5
447,HumanWikidata5M,P140,religion,Q9592,NA,8702
448,HumanWikidata5M,P140,religion,Q432,NA,4589
449,HumanWikidata5M,P140,religion,Q6423963,NA,3072
450,HumanWikidata5M,P140,religion,Q5043,NA,1230
451,HumanWikidata5M,P140,religion,Q7066,NA,1071
452,HumanWikidata5M,P140,religion,Q9268,NA,927
453,HumanWikidata5M,P140,religion,Q42504,NA,780
454,HumanWikidata5M,P140,religion,Q75809,NA,616
455,HumanWikidata5M,P140,religion,Q9089,NA,546
456,HumanWikidata5M,P140,religion,Q9585,NA,546
457,HumanWikidata5M,P140,religion,Q483654,NA,508
458,HumanWikidata5M,P140,religion,Q682443,NA,357
459,HumanWikidata5M,P140,religion,Q748,NA,271
460,HumanWikidata5M,P140,religion,Q23540,NA,266
461,HumanWikidata5M,P140,religion,Q178169,NA,206
462,HumanWikidata5M,P140,religion,Q188814,NA,193
463,HumanWikidata5M,P140,religion,Q33203,NA,173
464,HumanWikidata5M,P140,religion,Q35032,NA,168
465,HumanWikidata5M,P140,religion,Q101849,NA,160
466,HumanWikidata5M,P140,religion,Q82708,NA,147
467,HumanWikidata5M,P140,religion,Q7970362,NA,119
468,HumanWikidata5M,P140,religion,Q9232,NA,115
469,HumanWikidata5M,P140,religion,Q1062789,NA,92
470,HumanWikidata5M,P140,religion,Q483889,NA,87
471,HumanWikidata5M,P140,religion,Q192173,NA,84
472,HumanWikidata5M,P140,religion,Q93191,NA,82
473,HumanWikidata5M,P140,religion,Q9601,NA,69
474,HumanWikidata5M,P140,religion,Q329646,NA,68
475,HumanWikidata5M,P140,religion,Q683724,NA,65
476,HumanWikidata5M,P140,religion,Q60995,NA,65
477,HumanWikidata5M,P140,religion,Q288928,NA,64
478,HumanWikidata5M,P140,religion,Q384121,NA,64
479,HumanWikidata5M,P140,religion,Q132265,NA,49
480,HumanWikidata5M,P140,religion,Q515880,NA,46
481,HumanWikidata5M,P140,religion,Q106687,NA,44
482,HumanWikidata5M,P140,religion,Q9603,NA,43
483,HumanWikidata5M,P140,religion,Q483978,NA,41
484,HumanWikidata5M,P140,religion,Q170208,NA,41
485,HumanWikidata5M,P140,religion,Q747802,NA,41
486,HumanWikidata5M,P140,religion,Q59778,NA,40
487,HumanWikidata5M,P140,religion,Q106039,NA,39
488,HumanWikidata5M,P140,religion,Q855585,NA,39
489,HumanWikidata5M,P140,religion,Q179829,NA,39
490,HumanWikidata5M,P140,religion,Q812767,NA,39
491,HumanWikidata5M,P140,religion,Q82245,NA,38
492,HumanWikidata5M,P140,religion,Q9316,NA,36
493,HumanWikidata5M,P140,religion,Q80970,NA,36
494,HumanWikidata5M,P140,religion,Q228986,NA,36
495,HumanWikidata5M,P140,religion,Q64900,NA,33
496,HumanWikidata5M,P140,religion,Q104319,NA,32
497,HumanWikidata5M,P140,religion,Q181901,NA,31
498,HumanWikidata5M,P140,religion,Q49377,NA,31
499,HumanWikidata5M,P140,religion,Q217059,NA,29
500,HumanWikidata5M,P140,religion,Q198745,NA,29
501,HumanWikidata5M,P140,religion,Q7361618,NA,28
502,HumanWikidata5M,P140,religion,Q170111,NA,28
503,HumanWikidata5M,P140,religion,Q5169816,NA,25
504,HumanWikidata5M,P140,religion,Q855270,NA,24
505,HumanWikidata5M,P140,religion,Q922480,NA,24
506,HumanWikidata5M,P140,religion,Q275051,NA,23
507,HumanWikidata5M,P140,religion,Q617717,NA,23
508,HumanWikidata5M,P140,religion,Q47740,NA,22
509,HumanWikidata5M,P140,religion,Q194253,NA,22
510,HumanWikidata5M,P140,religion,Q597526,NA,22
511,HumanWikidata5M,P140,religion,Q539918,NA,22
512,HumanWikidata5M,P140,religion,Q1541206,NA,21
513,HumanWikidata5M,P140,religion,Q9598,NA,20
514,HumanWikidata5M,P140,religion,Q10090,NA,20
515,HumanWikidata5M,P140,religion,Q1272775,NA,19
516,HumanWikidata5M,P140,religion,Q426316,NA,18
517,HumanWikidata5M,P140,religion,Q245177,NA,18
518,HumanWikidata5M,P140,religion,Q29536,NA,17
519,HumanWikidata5M,P140,religion,Q837605,NA,17
520,HumanWikidata5M,P140,religion,Q875668,NA,17
521,HumanWikidata5M,P140,religion,Q540782,NA,16
522,HumanWikidata5M,P140,religion,Q620629,NA,16
523,HumanWikidata5M,P140,religion,Q745955,NA,16
524,HumanWikidata5M,P140,religion,Q749243,NA,15
525,HumanWikidata5M,P140,religion,Q22679,NA,15
526,HumanWikidata5M,P140,religion,Q269785,NA,15
527,HumanWikidata5M,P140,religion,Q2075119,NA,14
528,HumanWikidata5M,P140,religion,Q391951,NA,14
529,HumanWikidata5M,P140,religion,Q233387,NA,14
530,HumanWikidata5M,P140,religion,Q730726,NA,14
531,HumanWikidata5M,P140,religion,Q666860,NA,13
532,HumanWikidata5M,P140,religion,Q131036,NA,13
533,HumanWikidata5M,P140,religion,Q472189,NA,13
534,HumanWikidata5M,P140,religion,Q171201,NA,13
535,HumanWikidata5M,P140,religion,Q1351880,NA,13
536,HumanWikidata5M,P140,religion,Q1379849,NA,12
537,HumanWikidata5M,P140,religion,Q856349,NA,11
538,HumanWikidata5M,P140,religion,Q1149100,NA,11
539,HumanWikidata5M,P140,religion,Q168414,NA,11
540,HumanWikidata5M,P140,religion,Q198998,NA,10
541,HumanWikidata5M,P140,religion,Q48221,NA,10
542,HumanWikidata5M,P140,religion,Q323301,NA,9
543,HumanWikidata5M,P140,religion,Q1061176,NA,9
544,HumanWikidata5M,P140,religion,Q144333,NA,9
545,HumanWikidata5M,P140,religion,Q83922,NA,9
546,HumanWikidata5M,P140,religion,Q512232,NA,8
547,HumanWikidata5M,P140,religion,Q2711500,NA,8
548,HumanWikidata5M,P140,religion,Q9581,NA,8
549,HumanWikidata5M,P140,religion,Q243551,NA,8
550,HumanWikidata5M,P140,religion,Q159108,NA,8
551,HumanWikidata5M,P140,religion,Q1133485,NA,8
552,HumanWikidata5M,P140,religion,Q49830,NA,8
553,HumanWikidata5M,P140,religion,Q624477,NA,8
554,HumanWikidata5M,P140,religion,Q369557,NA,7
555,HumanWikidata5M,P140,religion,Q35269,NA,7
556,HumanWikidata5M,P140,religion,Q230386,NA,7
557,HumanWikidata5M,P140,religion,Q894479,NA,7
558,HumanWikidata5M,P140,religion,Q1258552,NA,7
559,HumanWikidata5M,P140,religion,Q5116896,NA,7
560,HumanWikidata5M,P140,religion,Q191057,NA,7
561,HumanWikidata5M,P140,religion,Q668460,NA,7
562,HumanWikidata5M,P140,religion,Q137073,NA,6
563,HumanWikidata5M,P140,religion,Q906685,NA,6
564,HumanWikidata5M,P140,religion,Q1142277,NA,6
565,HumanWikidata5M,P140,religion,Q653009,NA,6
566,HumanWikidata5M,P140,religion,Q693844,NA,6
567,HumanWikidata5M,P140,religion,Q3586082,NA,6
568,HumanWikidata5M,P140,religion,Q447131,NA,6
569,HumanWikidata5M,P140,religion,Q210540,NA,6
570,HumanWikidata5M,P140,religion,Q136886,NA,5
571,HumanWikidata5M,P140,religion,Q540766,NA,5
572,HumanWikidata5M,P140,religion,Q1755789,NA,5
573,HumanWikidata5M,P140,religion,Q752474,NA,5
574,HumanWikidata5M,P140,religion,Q163943,NA,5
575,HumanWikidata5M,P140,religion,Q205644,NA,5
576,HumanWikidata5M,P140,religion,Q517609,NA,5
577,HumanWikidata5M,P140,religion,Q632691,NA,5
578,HumanWikidata5M,P140,religion,Q58721,NA,5
579,HumanWikidata5M,P140,religion,Q893252,NA,5
580,HumanWikidata5M,P140,religion,Q2136834,NA,5
581,HumanWikidata5M,P140,religion,Q9159,NA,5
582,HumanWikidata5M,P140,religion,Q242758,NA,5
583,HumanWikidata5M,P140,religion,Q165580,NA,5
895,HumanWikidata5M,P172,ethnic group,Q49085,NA,12567
896,HumanWikidata5M,P172,ethnic group,Q539051,NA,1555
897,HumanWikidata5M,P172,ethnic group,Q79797,NA,1490
898,HumanWikidata5M,P172,ethnic group,Q179248,NA,1087
899,HumanWikidata5M,P172,ethnic group,Q127885,NA,1062
900,HumanWikidata5M,P172,ethnic group,Q190168,NA,924
901,HumanWikidata5M,P172,ethnic group,Q7325,NA,722
902,HumanWikidata5M,P172,ethnic group,Q932244,NA,669
903,HumanWikidata5M,P172,ethnic group,Q2325516,NA,539
904,HumanWikidata5M,P172,ethnic group,Q161652,NA,507
905,HumanWikidata5M,P172,ethnic group,Q678551,NA,237
906,HumanWikidata5M,P172,ethnic group,Q35323,NA,162
907,HumanWikidata5M,P172,ethnic group,Q115026,NA,140
908,HumanWikidata5M,P172,ethnic group,Q42406,NA,137
909,HumanWikidata5M,P172,ethnic group,Q7129609,NA,132
910,HumanWikidata5M,P172,ethnic group,Q187985,NA,125
911,HumanWikidata5M,P172,ethnic group,Q42884,NA,123
912,HumanWikidata5M,P172,ethnic group,Q235155,NA,110
913,HumanWikidata5M,P172,ethnic group,Q402913,NA,109
914,HumanWikidata5M,P172,ethnic group,Q485150,NA,100
915,HumanWikidata5M,P172,ethnic group,Q49078,NA,91
916,HumanWikidata5M,P172,ethnic group,Q129962,NA,91
917,HumanWikidata5M,P172,ethnic group,Q7994501,NA,85
918,HumanWikidata5M,P172,ethnic group,Q1075293,NA,84
919,HumanWikidata5M,P172,ethnic group,Q34069,NA,82
920,HumanWikidata5M,P172,ethnic group,Q974693,NA,80
921,HumanWikidata5M,P172,ethnic group,Q4887679,NA,77
922,HumanWikidata5M,P172,ethnic group,Q121842,NA,71
923,HumanWikidata5M,P172,ethnic group,Q145665,NA,68
924,HumanWikidata5M,P172,ethnic group,Q1344183,NA,64
925,HumanWikidata5M,P172,ethnic group,Q1026,NA,62
926,HumanWikidata5M,P172,ethnic group,Q42740,NA,60
927,HumanWikidata5M,P172,ethnic group,Q49542,NA,59
928,HumanWikidata5M,P172,ethnic group,Q133032,NA,59
929,HumanWikidata5M,P172,ethnic group,Q50001,NA,58
930,HumanWikidata5M,P172,ethnic group,Q141817,NA,56
931,HumanWikidata5M,P172,ethnic group,Q484464,NA,54
932,HumanWikidata5M,P172,ethnic group,Q2556103,NA,52
933,HumanWikidata5M,P172,ethnic group,Q181634,NA,50
934,HumanWikidata5M,P172,ethnic group,Q188353,NA,47
935,HumanWikidata5M,P172,ethnic group,Q484206,NA,46
936,HumanWikidata5M,P172,ethnic group,Q133255,NA,46
937,HumanWikidata5M,P172,ethnic group,Q1156766,NA,45
938,HumanWikidata5M,P172,ethnic group,Q170826,NA,45
939,HumanWikidata5M,P172,ethnic group,Q167420,NA,44
940,HumanWikidata5M,P172,ethnic group,Q1815623,NA,37
941,HumanWikidata5M,P172,ethnic group,Q241696,NA,37
942,HumanWikidata5M,P172,ethnic group,Q2436423,NA,37
943,HumanWikidata5M,P172,ethnic group,Q854323,NA,36
944,HumanWikidata5M,P172,ethnic group,Q862086,NA,36
945,HumanWikidata5M,P172,ethnic group,Q3476361,NA,36
946,HumanWikidata5M,P172,ethnic group,Q84072,NA,36
947,HumanWikidata5M,P172,ethnic group,Q18973,NA,35
948,HumanWikidata5M,P172,ethnic group,Q403656,NA,33
949,HumanWikidata5M,P172,ethnic group,Q170217,NA,32
950,HumanWikidata5M,P172,ethnic group,Q160894,NA,30
951,HumanWikidata5M,P172,ethnic group,Q44806,NA,29
952,HumanWikidata5M,P172,ethnic group,Q43103,NA,29
953,HumanWikidata5M,P172,ethnic group,Q12223,NA,29
954,HumanWikidata5M,P172,ethnic group,Q1146100,NA,28
955,HumanWikidata5M,P172,ethnic group,Q483569,NA,27
956,HumanWikidata5M,P172,ethnic group,Q1369944,NA,24
957,HumanWikidata5M,P172,ethnic group,Q170355,NA,24
958,HumanWikidata5M,P172,ethnic group,Q1983634,NA,23
959,HumanWikidata5M,P172,ethnic group,Q581780,NA,23
960,HumanWikidata5M,P172,ethnic group,Q842438,NA,22
961,HumanWikidata5M,P172,ethnic group,Q165192,NA,22
962,HumanWikidata5M,P172,ethnic group,Q83418,NA,21
963,HumanWikidata5M,P172,ethnic group,Q7435494,NA,21
964,HumanWikidata5M,P172,ethnic group,Q2643509,NA,21
965,HumanWikidata5M,P172,ethnic group,Q200569,NA,20
966,HumanWikidata5M,P172,ethnic group,Q49297,NA,20
967,HumanWikidata5M,P172,ethnic group,Q126756,NA,19
968,HumanWikidata5M,P172,ethnic group,Q4172847,NA,19
969,HumanWikidata5M,P172,ethnic group,Q36747,NA,19
970,HumanWikidata5M,P172,ethnic group,Q140472,NA,19
971,HumanWikidata5M,P172,ethnic group,Q105405,NA,18
972,HumanWikidata5M,P172,ethnic group,Q1774915,NA,17
973,HumanWikidata5M,P172,ethnic group,Q538636,NA,16
974,HumanWikidata5M,P172,ethnic group,Q533312,NA,16
975,HumanWikidata5M,P172,ethnic group,Q2050339,NA,15
976,HumanWikidata5M,P172,ethnic group,Q846570,NA,15
977,HumanWikidata5M,P172,ethnic group,Q8060,NA,15
978,HumanWikidata5M,P172,ethnic group,Q49209,NA,15
979,HumanWikidata5M,P172,ethnic group,Q102251,NA,15
980,HumanWikidata5M,P172,ethnic group,Q581921,NA,15
981,HumanWikidata5M,P172,ethnic group,Q365539,NA,14
982,HumanWikidata5M,P172,ethnic group,Q164714,NA,14
983,HumanWikidata5M,P172,ethnic group,Q1140588,NA,14
984,HumanWikidata5M,P172,ethnic group,Q3094841,NA,14
985,HumanWikidata5M,P172,ethnic group,Q6122670,NA,13
986,HumanWikidata5M,P172,ethnic group,Q3244280,NA,13
987,HumanWikidata5M,P172,ethnic group,Q1996554,NA,13
988,HumanWikidata5M,P172,ethnic group,Q1267987,NA,13
989,HumanWikidata5M,P172,ethnic group,Q857880,NA,13
990,HumanWikidata5M,P172,ethnic group,Q45315,NA,13
991,HumanWikidata5M,P172,ethnic group,Q1211934,NA,13
992,HumanWikidata5M,P172,ethnic group,Q1282294,NA,12
993,HumanWikidata5M,P172,ethnic group,Q171336,NA,12
994,HumanWikidata5M,P172,ethnic group,Q242485,NA,12
995,HumanWikidata5M,P172,ethnic group,Q58669,NA,12
996,HumanWikidata5M,P172,ethnic group,Q188779,NA,12
997,HumanWikidata5M,P172,ethnic group,Q893594,NA,12
998,HumanWikidata5M,P172,ethnic group,Q849967,NA,12
999,HumanWikidata5M,P172,ethnic group,Q482942,NA,12
1000,HumanWikidata5M,P172,ethnic group,Q32768,NA,11
1001,HumanWikidata5M,P172,ethnic group,Q7258666,NA,11
1002,HumanWikidata5M,P172,ethnic group,Q1061510,NA,11
1003,HumanWikidata5M,P172,ethnic group,Q1672477,NA,11
1004,HumanWikidata5M,P172,ethnic group,Q15863,NA,10
1005,HumanWikidata5M,P172,ethnic group,Q173491,NA,10
1006,HumanWikidata5M,P172,ethnic group,Q35565,NA,10
1007,HumanWikidata5M,P172,ethnic group,Q817393,NA,10
1008,HumanWikidata5M,P172,ethnic group,Q2606511,NA,10
1009,HumanWikidata5M,P172,ethnic group,Q200263,NA,10
1010,HumanWikidata5M,P172,ethnic group,Q1209676,NA,10
1011,HumanWikidata5M,P172,ethnic group,Q1150312,NA,10
1012,HumanWikidata5M,P172,ethnic group,Q201111,NA,10
1013,HumanWikidata5M,P172,ethnic group,Q1790886,NA,10
1014,HumanWikidata5M,P172,ethnic group,Q237534,NA,10
1015,HumanWikidata5M,P172,ethnic group,Q873625,NA,9
1016,HumanWikidata5M,P172,ethnic group,Q201190,NA,9
1017,HumanWikidata5M,P172,ethnic group,Q46118,NA,9
1018,HumanWikidata5M,P172,ethnic group,Q4115170,NA,9
1019,HumanWikidata5M,P172,ethnic group,Q124216,NA,9
1020,HumanWikidata5M,P172,ethnic group,Q165235,NA,9
1021,HumanWikidata5M,P172,ethnic group,Q518188,NA,9
1022,HumanWikidata5M,P172,ethnic group,Q1287940,NA,9
1023,HumanWikidata5M,P172,ethnic group,Q1189552,NA,9
1024,HumanWikidata5M,P172,ethnic group,Q588574,NA,9
1025,HumanWikidata5M,P172,ethnic group,Q1945786,NA,9
1026,HumanWikidata5M,P172,ethnic group,Q178630,NA,9
1027,HumanWikidata5M,P172,ethnic group,Q640605,NA,9
1028,HumanWikidata5M,P172,ethnic group,Q996189,NA,9
1029,HumanWikidata5M,P172,ethnic group,Q318674,NA,8
1030,HumanWikidata5M,P172,ethnic group,Q48199,NA,8
1031,HumanWikidata5M,P172,ethnic group,Q21,NA,8
1032,HumanWikidata5M,P172,ethnic group,Q3310017,NA,8
1033,HumanWikidata5M,P172,ethnic group,Q3015339,NA,8
1034,HumanWikidata5M,P172,ethnic group,Q1318423,NA,8
1035,HumanWikidata5M,P172,ethnic group,Q1058496,NA,8
1036,HumanWikidata5M,P172,ethnic group,Q186192,NA,8
1037,HumanWikidata5M,P172,ethnic group,Q262457,NA,8
1038,HumanWikidata5M,P172,ethnic group,Q577055,NA,8
1039,HumanWikidata5M,P172,ethnic group,Q12060728,NA,8
1040,HumanWikidata5M,P172,ethnic group,Q275453,NA,7
1041,HumanWikidata5M,P172,ethnic group,Q2033181,NA,7
1042,HumanWikidata5M,P172,ethnic group,Q80040,NA,7
1043,HumanWikidata5M,P172,ethnic group,Q940348,NA,7
1044,HumanWikidata5M,P172,ethnic group,Q1064662,NA,7
1045,HumanWikidata5M,P172,ethnic group,Q255872,NA,7
1046,HumanWikidata5M,P172,ethnic group,Q1193808,NA,7
1047,HumanWikidata5M,P172,ethnic group,Q541508,NA,7
1048,HumanWikidata5M,P172,ethnic group,Q1265028,NA,7
1049,HumanWikidata5M,P172,ethnic group,Q183573,NA,7
1050,HumanWikidata5M,P172,ethnic group,Q1060991,NA,6
1051,HumanWikidata5M,P172,ethnic group,Q106713,NA,6
1052,HumanWikidata5M,P172,ethnic group,Q777586,NA,6
1053,HumanWikidata5M,P172,ethnic group,Q2879337,NA,6
1054,HumanWikidata5M,P172,ethnic group,Q445618,NA,6
1055,HumanWikidata5M,P172,ethnic group,Q49540,NA,6
1056,HumanWikidata5M,P172,ethnic group,Q106416,NA,6
1057,HumanWikidata5M,P172,ethnic group,Q157139,NA,6
1058,HumanWikidata5M,P172,ethnic group,Q1413685,NA,6
1059,HumanWikidata5M,P172,ethnic group,Q276879,NA,6
1060,HumanWikidata5M,P172,ethnic group,Q1740683,NA,6
1061,HumanWikidata5M,P172,ethnic group,Q2986879,NA,6
1062,HumanWikidata5M,P172,ethnic group,Q503963,NA,6
1063,HumanWikidata5M,P172,ethnic group,Q1258074,NA,6
1064,HumanWikidata5M,P172,ethnic group,Q244157,NA,6
1065,HumanWikidata5M,P172,ethnic group,Q216151,NA,6
1066,HumanWikidata5M,P172,ethnic group,Q41975,NA,6
1067,HumanWikidata5M,P172,ethnic group,Q2309935,NA,6
1068,HumanWikidata5M,P172,ethnic group,Q483047,NA,6
1069,HumanWikidata5M,P172,ethnic group,Q7541523,NA,6
1070,HumanWikidata5M,P172,ethnic group,Q740417,NA,6
1071,HumanWikidata5M,P172,ethnic group,Q3565504,NA,6
1072,HumanWikidata5M,P172,ethnic group,Q245807,NA,6
1073,HumanWikidata5M,P172,ethnic group,Q2886395,NA,6
1074,HumanWikidata5M,P172,ethnic group,Q106974,NA,6
1075,HumanWikidata5M,P172,ethnic group,Q15763,NA,6
1076,HumanWikidata5M,P172,ethnic group,Q1752440,NA,6
1077,HumanWikidata5M,P172,ethnic group,Q948126,NA,6
1078,HumanWikidata5M,P172,ethnic group,Q418708,NA,6
1079,HumanWikidata5M,P172,ethnic group,Q7409937,NA,6
1080,HumanWikidata5M,P172,ethnic group,Q1375066,NA,5
1081,HumanWikidata5M,P172,ethnic group,Q501837,NA,5
1082,HumanWikidata5M,P172,ethnic group,Q483505,NA,5
1083,HumanWikidata5M,P172,ethnic group,Q3003133,NA,5
1084,HumanWikidata5M,P172,ethnic group,Q2997706,NA,5
1085,HumanWikidata5M,P172,ethnic group,Q117191,NA,5
1086,HumanWikidata5M,P172,ethnic group,Q1467740,NA,5
1087,HumanWikidata5M,P172,ethnic group,Q340581,NA,5
1088,HumanWikidata5M,P172,ethnic group,Q146521,NA,5
1089,HumanWikidata5M,P172,ethnic group,Q5029681,NA,5
1090,HumanWikidata5M,P172,ethnic group,Q457341,NA,5
1091,HumanWikidata5M,P172,ethnic group,Q5501705,NA,5
1092,HumanWikidata5M,P172,ethnic group,Q1196649,NA,5
1093,HumanWikidata5M,P172,ethnic group,Q324216,NA,5
1094,HumanWikidata5M,P172,ethnic group,Q191356,NA,5
1095,HumanWikidata5M,P172,ethnic group,Q5002005,NA,5
1096,HumanWikidata5M,P172,ethnic group,Q799929,NA,5
1097,HumanWikidata5M,P172,ethnic group,Q7437641,NA,5
1098,HumanWikidata5M,P172,ethnic group,Q700469,NA,5
1099,HumanWikidata5M,P172,ethnic group,Q381151,NA,5
1100,HumanWikidata5M,P172,ethnic group,Q16821017,NA,5
1101,HumanWikidata5M,P172,ethnic group,Q415693,NA,5
1102,HumanWikidata5M,P172,ethnic group,Q388315,NA,5
1103,HumanWikidata5M,P172,ethnic group,Q1195125,NA,5
1104,HumanWikidata5M,P172,ethnic group,Q244504,NA,5
1105,HumanWikidata5M,P172,ethnic group,Q1378555,NA,5
1106,HumanWikidata5M,P172,ethnic group,Q637979,NA,5
1107,HumanWikidata5M,P172,ethnic group,Q6935055,NA,5
1108,HumanWikidata5M,P172,ethnic group,Q18356677,NA,5
1109,HumanWikidata5M,P172,ethnic group,Q19109,NA,5
1841,HumanWikidata5M,P19,place of birth,Q60,NA,11782
1842,HumanWikidata5M,P19,place of birth,Q84,NA,9403
1843,HumanWikidata5M,P19,place of birth,Q90,NA,6509
1844,HumanWikidata5M,P19,place of birth,Q1297,NA,5552
1845,HumanWikidata5M,P19,place of birth,Q65,NA,4818
1846,HumanWikidata5M,P19,place of birth,Q649,NA,4321
1847,HumanWikidata5M,P19,place of birth,Q1345,NA,4076
1848,HumanWikidata5M,P19,place of birth,Q18419,NA,3709
